country,year,en_per_cap,prot_area_perc,gdp,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
BGR,2001,2464.20581542351,4.59409446872,13868600611.9981,19.8,-1.87857735534721,7910000.0,-1.50192919434975,5470556.0
BGR,2002,2416.32329393824,8.95599023405,15979194407.5093,18.9,-0.519679189876546,7869000.0,-0.14444426081658,5462659.8
BGR,2003,2493.91039243257,9.03461003914,20668176666.3655,17.9,-0.586287647991774,7823000.0,-0.212455473929544,5451066.4
BGR,2004,2418.77246853008,9.0459876688,25283228735.9157,16.9,-0.536255685437808,7781161.0,-0.163815776339561,5442144.0034
BGR,2005,2569.26303957415,9.05342742489,28895083539.8005,16.0,-0.53167882270332,7739900.0,-0.160620883049765,5433409.8
BGR,2006,2655.4797883367,9.06659204501,33209188725.2826,15.3,-0.529571958902757,7699020.0,-0.103132080257021,5427809.1
BGR,2007,2624.43634033633,9.06659204501,42113655820.4824,14.6,-0.511187415410182,7659764.0,-0.0865583272650685,5423112.912
BGR,2008,2594.20887937723,9.06659204501,51824867626.646,13.9,-0.475936534471499,7623395.0,-0.053102923519391,5420233.845
BHR,1991,7976.4034854002,1.34936050353,4616223477.21289,16.2,2.76014544652782,506685.0,2.8282266927749,446693.496
BHR,1992,8319.86007204212,1.34936050353,4751063992.46826,15.6,2.53545165085462,519696.0,2.60348657807354,458475.8112
BHR,1993,8746.28166548326,1.34936050353,5200266050.40256,15.0,2.40796838309088,532362.0,2.4759570542651,469969.1736
BHR,1994,9073.51342033892,1.34936050353,5567553552.34054,14.5,2.40655731851813,545329.0,2.47449979650262,481743.6386
BHR,1995,8818.15840263009,1.34936050353,5849468115.18506,14.0,2.48836179897505,559069.0,2.55625814649679,494216.996
BHR,1996,8635.98555610056,1.34936050353,6101861655.74215,13.7,2.79475641514738,574914.0,2.79475641514738,508223.976
BHR,1997,9130.50898334868,1.34936050353,6349202600.38155,13.2,3.09503255560962,592986.0,3.09503255560962,524199.624
BHR,1998,9512.98268920239,1.34936050353,6183941092.31601,12.8,3.03139827191936,611237.0,3.03139827191936,540333.508
BHR,1999,9020.93448102558,1.34936050353,6621186419.41611,12.5,2.50868970703917,626765.0,2.50868970703915,554060.26
BHR,2000,9189.51163676192,1.34936050353,7970690894.22308,12.2,1.80690756958621,638193.0,1.80690756958624,564162.612
BHR,2001,9445.44053789046,1.34936050353,7928934209.57661,12.0,0.674163541507828,642510.0,0.674163541507806,567978.84
BHR,2002,10019.4262307848,1.34936050353,8491183200.55491,11.7,-0.0685048836518204,642070.0,-0.0685048836518315,567589.88
BHR,2003,10432.9289021021,1.34936050353,9747599583.42221,11.5,0.790240795568557,647164.0,0.79024079556858,572092.976
BHR,2004,10375.1652375849,1.34936050353,11235671061.4371,11.3,3.73013939055519,671760.0,3.73013939055519,593835.84
BHR,2005,10348.0636914379,1.34936050353,13460198289.6975,11.1,7.60042786434699,724807.0,7.60042786434697,640729.388
BHR,2006,10193.2475567222,1.34936050353,15854942950.6104,10.9,11.2868062555244,811410.0,11.3320448900891,717611.004
BHR,2007,9456.59385589582,1.34936050353,18473097688.7683,10.7,13.1812381062027,925733.0,13.2264562846806,819088.5584
BHR,2008,8784.70750000713,1.34936050353,21902892583.9637,10.5,12.8203733700299,1052359.0,12.8655711109123,931548.1868
BLR,1991,4348.46262507357,6.64433283602,17813389815.004,17.0,0.0490604894741308,10194000.0,0.623166919110483,6766777.2
BLR,1992,3620.72768206735,6.70758664582,17022180272.211,17.0,0.215580667634297,10216000.0,0.786409931419387,6820201.6
BLR,1993,3076.69704072663,6.86995339102,16280372553.0518,16.9,0.224883972052545,10239000.0,0.792473262069602,6874464.6
BLR,1994,2615.73648186174,6.89014425926,14931599418.4226,16.9,-0.117267669480058,10227000.0,0.447118196700899,6905270.4
BLR,1995,2427.66676476359,7.21402059751,13972637603.2102,16.8,-0.32319697020678,10194000.0,0.238021437092293,6921726.0
BLR,1996,2501.34616141732,7.2680039989,14756861538.4615,16.5,-0.334086955668395,10160000.0,0.253286224457983,6939280.0
BLR,1997,2505.60274785015,7.2679875243,14128412417.193,16.1,-0.424126465893162,10117000.0,0.159816772497667,6950379.0
BLR,1998,2465.39666302513,7.26797102074,15222014828.3039,15.4,-0.475577999015538,10069000.0,0.1049751255045,6957679.0
BLR,1999,2408.82222222222,7.26797099661,12138485328.6267,14.6,-0.338241447172441,10035000.0,0.238960711194587,6974325.0
BLR,2000,2467.19290354823,7.26798857628,12736856485.1068,13.7,-0.299401402366337,10005000.0,0.274488245641334,6993495.0
BLR,2001,2484.79968050922,7.26798857628,12354820143.8849,12.8,-0.347830040141064,9970260.05529868,0.308097000867935,7015074.97490815
BLR,2002,2544.24413098237,7.26798857628,14594925392.9691,11.9,-0.454984055440504,9925000.0,0.196668597287107,7028885.0
BLR,2003,2633.08895424066,7.26798857628,17825436034.5366,11.0,-0.51549916853234,9873968.35117472,0.131934446816008,7038164.64071734
BLR,2004,2735.83445224898,7.26798857628,23141587717.7633,10.1,-0.50256778134196,9824469.45132408,0.140701081101052,7048074.38437989
BLR,2005,2749.0039878296,7.26798857628,30210091836.8294,9.3,-0.498754119629345,9775591.4938548,0.140403228360521,7057977.05856317
BLR,2006,2941.6214744413,7.26798857628,36961918858.7385,8.5,-0.441781441853296,9732500.0,0.1382505668876,7067741.5
BLR,2007,2891.95557616986,7.26798857628,45275711995.825,7.8,-0.313875067944899,9702000.0,0.262811962107443,7086340.8
BLR,2008,2931.19579254322,7.26798857628,60763483146.0674,7.2,-1.03606397142761,9602000.0,-0.462683560946821,7053629.2
BOL,1991,394.957523180048,8.58362240762,5343259488.68929,116.7,2.30664303808592,6813834.0,3.6642916154802,3840276.8424
BOL,1992,408.716710007559,8.95352214692,5643864513.49805,112.9,2.32580801049334,6974168.0,3.66527111057829,3983644.7616
BOL,1993,420.122764773884,9.01008081875,5734703516.14626,109.2,2.32481666550932,7138204.0,3.64657503870475,4131592.4752
BOL,1994,452.76326183595,9.01008119034,5981218963.39922,105.3,2.29924282980235,7304230.0,3.60375841131364,4283200.472
BOL,1995,497.675053624551,14.036445632,6715164449.92696,101.1,2.25651877348937,7470925.0,3.54423565250969,4437729.45
BOL,1996,540.029344212112,14.0382129814,7396952017.81691,97.0,2.20674780570376,7637622.0,3.01158112398659,4573408.0536
BOL,1997,579.327278833438,17.686164727,7925733799.38014,93.1,2.15927940923766,7804333.0,2.95768684405971,4710695.3988
BOL,1998,591.545452732117,17.6871234952,8497499275.77644,89.2,2.11605955091772,7971237.0,2.90814290006212,4849700.5908
BOL,1999,550.081940806522,17.6871234952,8285061590.59504,85.6,2.08033069509447,8138802.0,2.86618935634659,4990713.3864
BOL,2000,455.385345423659,17.8632893966,8397858205.82571,82.2,2.04853920149633,8307248.0,2.82827024749949,5133879.264
BOL,2001,347.198777261317,17.8632893966,8141513227.14468,78.8,2.01938981038872,8476709.0,2.79308806060396,5279294.3652
BOL,2002,412.71050471633,17.866607224,7905485150.06532,75.8,1.98507187033652,8646659.0,2.75282996023997,5426643.1884
BOL,2003,427.347326895655,17.9639145412,8082396474.23918,72.6,1.93851535200258,8815911.0,2.70042379964652,5575182.1164
BOL,2004,408.099618420164,18.2063961814,8773451753.44247,69.8,1.87665054511476,8982917.0,2.63279781517245,5723914.7124
BOL,2005,571.03028374854,18.2063961814,9549196301.69679,66.7,1.80635761491154,9146655.0,2.55683018031829,5872152.51
BOL,2006,694.229078960658,18.2063961814,11451297465.9489,63.9,1.734203421487,9306660.0,2.44815958162417,6017686.356
BOL,2007,571.844107944452,18.2063961814,13120517443.1596,61.5,1.67117035959096,9463497.0,2.38006529929072,6162629.2464
BOL,2008,621.535804150059,18.2063961814,16675015771.1304,59.0,1.62428160138075,9618466.0,2.32818657360248,6307790.0028
BRA,1991,939.25664742651,10.9945413211,407337832905.405,57.1,1.65458052183399,152146887.0,2.4535195251819,114718752.798
BRA,1992,934.013848938257,11.3492896411,390566551483.761,54.7,1.58789501308395,154582103.0,2.38050154032602,117482398.28
BRA,1993,942.659701553689,11.4424983416,438299504406.263,52.7,1.54301420858074,156985824.0,2.32938785460218,120251141.184
